Albert Wilson,Mia,WR,7,104.75,1%,-,253,52,1,0,16,0,2,26,391,4,11,0,0,0,0
LeGarrette Blount,Det,RB,16,103.27,0%,-,254,0,0,0,418,5,25,10,67,0,4,0,0,0,1
Dallas Goedert,Phi,TE,16,102.27,20%,-,255,0,0,0,0,0,0,33,334,4,15,0,0,0,0
Marquise Goodwin,SF,WR,11,101.23,14%,-,256,0,0,0,9,0,0,23,395,4,19,0,0,0,0
Chris Ivory,Buf,RB,13,101.17,0%,-,257,0,0,0,385,1,25,13,205,0,7,0,0,0,0
Elijah McGuire,Cle,RB,8,100.47,0%,-,259,0,0,0,276,3,15,19,193,1,10,0,0,0,2
Randall Cobb,Dal,WR,9,100.13,10%,-,260,0,0,0,0,0,0,38,383,2,18,46,0,0,1
Gerald Everett,LAR,TE,16,99.93,83%,-,261,0,0,0,16,0,1,33,320,3,17,0,0,1,0
Josh Adams,NYJ,RB,14,99.97,0%,-,262,0,0,0,511,3,23,7,58,0,3,0,0,1,1
Chris Moore,Bal,WR,16,99.87,0%,-,263,0,0,0,17,0,1,19,196,1,8,491,0,0,0
Keelan Cole,Jax,WR,16,99.73,0%,-,264,0,0,0,0,0,0,38,491,1,25,0,0,0,2
Ty Montgomery,NYJ,RB,13,99.47,2%,-,265,0,0,0,188,1,10,25,235,0,7,210,0,0,1
Rashaad Penny,Sea,RB,14,98.90,31%,-,266,0,0,0,419,2,18,9,75,0,3,140,0,0,0
Ben Watson,NE,TE,16,98.67,5%,-,267,0,0,0,0,0,0,35,400,2,21,0,0,0,0
Phillip Dorsett II,NE,WR,16,97.23,50%,-,268,0,0,0,29,0,2,32,290,3,17,0,0,0,0
Richie James Jr.,SF,WR,13,97.17,1%,-,269,0,0,0,0,0,0,9,130,1,4,655,1,0,1
Greg Olsen,Car,TE,9,96.40,85%,-,270,0,0,0,0,0,0,27,291,4,18,0,0,0,0
Marshawn Lynch,Oak,RB,6,96.20,0%,-,271,0,0,0,376,3,20,15,84,0,6,0,0,0,0
Jacquizz Rodgers,NO,RB,16,96.07,0%,-,272,0,0,0,106,1,7,38,304,0,13,52,0,0,1
Quincy Enunwa,NYJ,WR,11,95.93,1%,-,273,0,0,0,0,0,0,38,449,1,22,0,0,0,1
Darius Jennings,Ten,WR,16,94.57,0%,-,275,21,0,0,2,0,0,11,101,0,2,698,1,0,0
Marvin Hall,Det,WR,16,94.53,0%,-,276,0,0,0,0,0,0,10,149,1,5,616,0,0,0
Ian Thomas,Car,TE,16,94.20,0%,-,277,0,0,0,0,0,0,36,333,2,20,0,0,0,0
Taywan Taylor,Cle,WR,13,93.07,0%,-,278,0,0,0,0,0,0,37,466,1,19,0,0,0,1
Jamison Crowder,NYJ,WR,9,91.87,51%,-,282,0,0,0,30,0,1,29,388,2,15,20,0,0,0
Spencer Ware,Ind,RB,13,91.53,0%,-,283,0,0,0,246,2,14,20,224,0,9,10,0,0,0
Jesse James,Det,TE,16,91.20,0%,-,284,0,0,0,0,0,0,30,423,2,17,0,0,0,0
Alfred Morris,Ari,RB,12,90.67,1%,-,285,0,0,0,428,2,24,8,73,0,5,0,0,0,1
Isaiah McKenzie,Buf,WR,8,90.23,0%,-,286,0,0,0,66,2,4,18,179,0,10,337,0,0,1
Jermaine Kearse,Det,WR,14,89.73,0%,-,288,0,0,0,0,0,0,37,371,1,20,0,0,0,0
Dontrelle Inman,LAC,WR,9,88.27,1%,-,289,0,0,0,0,0,0,28,304,3,16,0,0,0,0
Jeff Driskel,Det,QB,9,88.12,0%,-,290,1003,6,2,130,2,7,0,0,0,0,0,0,1,1
Nick Vannett,Pit,TE,15,87.93,0%,-,291,0,0,0,0,0,0,29,269,3,17,0,0,0,0
Tajae Sharpe,Ten,WR,16,87.67,0%,-,292,0,0,0,16,0,1,26,316,2,22,0,0,0,0
Blake Jarwin,Dal,TE,16,87.47,1%,-,293,0,0,0,0,0,0,27,307,3,16,0,0,0,0
Antonio Gates,LAC,TE,16,87.20,0%,-,294,0,0,0,0,0,0,28,333,2,19,0,0,2,1
C.J. Anderson,Det,RB,11,87.03,1%,-,295,0,0,0,403,2,21,5,41,1,2,0,0,0,0
Aldrick Robinson,Car,WR,14,86.50,0%,-,296,0,0,0,0,0,0,17,231,5,12,21,0,0,0
Demarcus Robinson,KC,WR,16,85.20,26%,-,298,0,0,0,0,0,0,22,288,4,12,0,0,0,0
Vernon Davis,Was,TE,14,83.47,4%,-,300,0,0,0,0,0,0,25,367,2,16,0,0,1,0
Ryan Grant,GB,WR,14,83.27,0%,-,301,0,0,0,0,0,0,35,334,1,18,0,0,0,0
Nick Foles,Jax,QB,5,82.89,4%,-,302,1413,7,4,17,0,6,1,10,0,1,0,0,0,2
DaeSean Hamilton,Den,WR,14,81.30,7%,-,303,0,0,0,0,0,0,30,243,2,16,31,0,0,0
Marcus Murphy,Buf,RB,11,80.63,0%,-,304,0,0,0,250,0,7,11,26,0,2,339,0,0,0
Jeff Heuerman,Den,TE,11,79.73,0%,-,305,0,0,0,0,0,0,31,281,2,14,0,0,0,0
Chase Edmonds,Ari,RB,16,79.47,83%,-,306,0,0,0,208,2,14,20,103,0,5,48,0,0,0
Laquon Treadwell,Min,WR,15,79.13,0%,-,307,0,0,0,0,0,0,35,302,1,16,0,0,0,0
Taysom Hill,NO,QB,16,79.23,1%,-,308,64,0,1,196,2,15,3,4,0,0,348,0,0,1
Ricky Seals-Jones,Cle,TE,15,78.87,4%,-,309,0,0,0,0,0,0,34,343,1,14,0,0,0,0
